"","number","contractName","name","address","banking","bonus","status","lastUpdate","connected","overflow","shape","position.latitude","position.longitude","totalStands.capacity","totalStands.availabilities.bikes","totalStands.availabilities.stands","totalStands.availabilities.mechanicalBikes","totalStands.availabilities.electricalBikes","totalStands.availabilities.electricalInternalBatteryBikes","totalStands.availabilities.electricalRemovableBatteryBikes","mainStands.capacity","mainStands.availabilities.bikes","mainStands.availabilities.stands","mainStands.availabilities.mechanicalBikes","mainStands.availabilities.electricalBikes","mainStands.availabilities.electricalInternalBatteryBikes","mainStands.availabilities.electricalRemovableBatteryBikes","overflowStands.capacity","overflowStands.availabilities.bikes","overflowStands.availabilities.stands","overflowStands.availabilities.mechanicalBikes","overflowStands.availabilities.electricalBikes","overflowStands.availabilities.electricalInternalBatteryBikes","overflowStands.availabilities.electricalRemovableBatteryBikes","region"
"69",6031,"lyon","6031 - LAFAYETTE / CORNEILLE","Angle cours Lafayette",FALSE,FALSE,"OPEN","2023-10-06T11:47:10Z",TRUE,FALSE,NA,45.763717,4.843791,13,0,11,1,1,0,1,13,0,11,1,1,0,1,NA,NA,NA,NA,NA,NA,NA," 69006"
"70",9049,"lyon","9049 - SERGENT BERTHET / GORGE DE LOUP","23 RUE GORGE DE LOUP",FALSE,FALSE,"OPEN","2023-10-06T11:46:10Z",TRUE,FALSE,NA,45.770136,4.80516,16,3,13,1,2,0,2,16,3,13,1,2,0,2,NA,NA,NA,NA,NA,NA,NA," 69009"
"71",3017,"lyon","3017 - SAXE / DUNOIR","",TRUE,FALSE,"OPEN","2023-10-06T11:48:43Z",TRUE,FALSE,NA,45.760912,4.845291,37,8,29,5,3,0,3,37,8,29,5,3,0,3,NA,NA,NA,NA,NA,NA,NA,"69005"
"72",9009,"lyon","9009 - BERLIOZ / CHALINEL","",FALSE,TRUE,"OPEN","2023-10-06T11:47:47Z",TRUE,FALSE,NA,45.801192,4.825451,15,9,6,4,5,0,5,15,9,6,4,5,0,5,NA,NA,NA,NA,NA,NA,NA," 69009"
"73",10021,"lyon","10021 - GRANDCLÉMENT","Angle cours Tolstoï",TRUE,FALSE,"OPEN","2023-10-06T11:49:02Z",TRUE,FALSE,NA,45.759743,4.889938,19,0,19,0,0,0,0,19,0,19,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69100"
"74",7023,"lyon","7023 - BERTHELOT / ROUTE DE VIENNE","Route de Vienne - Angle avenue Berthelot",TRUE,FALSE,"OPEN","2023-10-06T11:48:02Z",TRUE,FALSE,NA,45.742639,4.850538,15,2,13,2,0,0,0,15,2,13,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,"69120"
"75",6044,"lyon","6044 - CHARMETTES / BELLECOMBE","23 RUE DE LA VIABERT",TRUE,FALSE,"OPEN","2023-10-06T11:48:36Z",TRUE,FALSE,NA,45.766372,4.865058,16,10,6,9,1,0,1,16,10,6,9,1,0,1,NA,NA,NA,NA,NA,NA,NA,"69006"
"76",3008,"lyon","3008 - INSTITUT LUMIERE","105 COURS ALBERT THOMAS",TRUE,FALSE,"OPEN","2023-10-06T11:47:52Z",TRUE,FALSE,NA,45.745828,4.870631,18,2,15,1,2,0,2,18,2,15,1,2,0,2,NA,NA,NA,NA,NA,NA,NA,"69100"
"77",3040,"lyon","3040 - FAURE / DANTON","",FALSE,FALSE,"OPEN","2023-10-06T11:48:00Z",TRUE,FALSE,NA,45.753528,4.857784,35,8,27,5,3,0,3,35,8,27,5,3,0,3,NA,NA,NA,NA,NA,NA,NA,"69100"
"78",8042,"lyon","8042 - FRANCIS DE PRESSENSÉ","73 RUE CAZENEUVE",FALSE,FALSE,"OPEN","2023-10-06T11:45:41Z",TRUE,FALSE,NA,45.731361,4.860139,22,16,6,6,10,0,10,22,16,6,6,10,0,10,NA,NA,NA,NA,NA,NA,NA," 69008"
